name,abbrev,wins,losses,elo,round 1,round 2,sweet 16,elite eight,final 4,championship,win
Houston Cougars,HOU,30,4,1826.6,100.0,80.8,59.2,38.4,26.2,16.4,10.2
UConn Huskies,CONN,31,3,1821.3,100.0,80.9,55.7,36.3,22.8,14.6,8.8
Purdue Boilermakers,PUR,29,4,1799.7,100.0,82.4,47.9,28.4,18.2,10.6,6.3
Iowa State Cyclones,ISU,27,7,1784.1,100.0,72.1,42.7,26.4,14.5,8.6,4.8
North Carolina Tar Heels,UNC,27,7,1756.3,100.0,81.1,54.5,29.4,16.4,8.5,4.4
Utah State Aggies,USU,27,6,1777.9,100.0,63.8,33.8,19.3,11.7,6.7,3.8
Auburn Tigers,AUB,27,7,1757.8,100.0,64.2,39.0,19.7,10.7,5.9,3.1
Grand Canyon Lopes,GCU,29,4,1761.4,100.0,54.2,32.2,19.1,10.9,5.7,3.0
South Carolina Gamecocks,SC,26,7,1748.3,100.0,62.1,37.9,22.1,10.7,5.6,2.8
Tennessee Volunteers,TENN,24,8,1733.1,100.0,74.7,44.2,24.2,11.3,5.6,2.7
New Mexico Lobos,UNM,26,9,1741.3,100.0,63.9,37.9,20.2,10.6,5.2,2.6
Nevada Wolf Pack,NEV,26,7,1741.5,100.0,51.6,30.9,17.5,9.3,4.7,2.4
Kentucky Wildcats,UK,23,9,1703.9,200.0,105.1,52.1,25.2,11.6,5.3,2.4
Drake Bulldogs,DRKE,28,6,1745.3,100.0,58.8,29.9,16.9,8.5,4.5,2.3
James Madison Dukes,JMU,31,3,1744.6,100.0,59.5,32.1,15.7,9.1,4.7,2.3
McNeese Cowboys,MCN,30,3,1750.6,100.0,54.4,29.2,13.9,8.0,4.3,2.1
Samford Bulldogs,SAM,29,5,1742.8,100.0,55.3,28.1,13.1,7.3,3.8,1.9
Dayton Flyers,DAY,24,7,1733.2,100.0,48.4,28.6,15.7,8.3,4.0,1.9
Illinois Fighting Illini,ILL,26,8,1729.4,100.0,57.9,32.3,15.9,7.6,3.9,1.8
Marquette Golden Eagles,MARQ,25,9,1710.3,100.0,65.3,34.5,18.7,8.3,3.8,1.7
Vermont Catamounts,UVM,28,6,1729.1,100.0,53.1,27.3,12.9,7.2,3.5,1.7
Texas Tech Red Raiders,TTU,23,10,1711.8,100.0,60.9,33.8,18.0,8.1,3.8,1.7
Saint Mary's Gaels,SMC,26,7,1730.9,100.0,45.8,24.9,13.9,7.4,3.5,1.7
Arizona Wildcats,ARIZ,25,8,1711.4,100.0,67.7,31.2,16.3,7.9,3.5,1.6
Baylor Bears,BAY,23,10,1703.1,100.0,60.5,29.9,14.4,6.9,3.0,1.3
Florida Atlantic Owls,FAU,25,8,1705.6,100.0,57.9,23.5,11.7,5.5,2.6,1.2
San Diego State Aztecs,SDSU,24,10,1706.1,100.0,58.3,27.7,12.0,5.6,2.7,1.2
Gonzaga Bulldogs,GONZ,25,7,1720.4,100.0,45.6,22.6,9.9,5.2,2.5,1.2
Charleston Cougars,COFC,27,7,1706.4,100.0,52.9,23.3,12.2,6.0,2.7,1.2
Florida Gators,FLA,24,11,1694.4,100.0,50.4,26.7,13.7,5.7,2.6,1.1
Duke Blue Devils,DUKE,24,8,1707.4,100.0,46.9,22.9,10.2,5.3,2.4,1.1
Boise State Broncos,BOIS,22,10,1691.3,100.0,49.6,26.0,13.4,5.7,2.5,1.1
Creighton Bluejays,CREI,23,9,1693.5,100.0,57.9,27.1,13.8,5.7,2.6,1.1
BYU Cougars,BYU,23,10,1698.7,100.0,53.2,26.1,11.7,5.1,2.4,1.0
Colorado State Rams,CSU,24,10,1682.8,100.0,54.0,26.5,12.7,5.2,2.2,0.9
Alabama Crimson Tide,ALA,21,11,1685.8,100.0,47.1,19.6,9.7,4.4,1.9,0.8
Nebraska Cornhuskers,NEB,23,10,1670.5,100.0,56.1,19.8,8.4,4.0,1.6,0.7
Washington State Cougars,WSU,24,9,1684.7,100.0,41.2,17.5,8.4,3.5,1.6,0.7
Oregon Ducks,ORE,23,11,1661.5,100.0,37.9,18.6,8.6,3.2,1.3,0.6
Wisconsin Badgers,WIS,22,13,1677.7,100.0,40.5,17.8,7.1,3.5,1.5,0.6
Duquesne Dukes,DUQ,24,11,1676.1,100.0,46.8,21.3,8.7,3.5,1.5,0.6
Texas Longhorns,TEX,20,12,1656.3,100.0,46.0,21.0,9.2,3.3,1.3,0.5
Morehead State Eagles,MORE,26,8,1674.9,100.0,42.1,20.3,8.3,3.3,1.4,0.5
TCU Horned Frogs,TCU,21,12,1677.9,100.0,36.2,14.3,6.0,2.8,1.2,0.5
UAB Blazers,UAB,23,11,1651.5,100.0,41.7,16.6,6.0,2.5,1.0,0.4
Mississippi State Bulldogs,MSST,21,13,1644.9,100.0,53.6,21.9,8.4,3.4,1.3,0.4
Yale Bulldogs,YALE,22,9,1657.3,100.0,35.8,16.7,6.2,2.5,1.0,0.4
Northwestern Wildcats,NU,21,11,1650.8,100.0,42.1,14.1,5.9,2.3,1.0,0.4
Clemson Tigers,CLEM,21,11,1643.6,100.0,36.1,16.6,6.6,2.6,1.0,0.4
Texas A&M Aggies,TA&M,20,14,1627.9,100.0,43.9,13.5,5.1,2.1,0.7,0.3
Oakland Golden Grizzlies,OAK,23,11,1630.5,100.0,39.6,16.8,7.0,2.4,0.8,0.3
NC State Wolfpack,NCSU,22,14,1634.4,100.0,39.1,17.3,7.5,2.6,1.0,0.3
Akron Zips,AKR,24,10,1638.1,100.0,42.1,16.5,7.0,2.3,0.9,0.3
Michigan State Spartans,MSU,19,14,1619.1,100.0,46.4,17.5,6.0,2.3,0.7,0.2
Colgate Raiders,COLG,25,9,1630.6,100.0,39.5,15.6,5.9,2.2,0.8,0.2
Stetson Hatters,STET,22,12,1573.4,100.0,19.1,6.7,2.2,0.6,0.2,0.1
South Dakota State Jackrabbits,SDST,22,12,1618.4,100.0,27.9,9.9,3.8,1.3,0.4,0.1
Longwood Lancers,LONG,21,13,1574.5,100.0,19.2,7.5,2.3,0.8,0.2,0.1
Long Beach State Beach,LBSU,21,14,1582.2,100.0,32.3,9.3,3.3,1.0,0.3,0.1
Western Kentucky Hilltoppers,WKU,22,11,1600.6,100.0,34.7,12.7,4.9,1.5,0.5,0.1
Saint Peter's Peacocks,SPU,19,13,1546.0,100.0,25.3,8.3,2.4,0.5,0.1,0.0
Montana State Bobcats,MTST,17,17,1531.6,100.0,17.6,4.0,0.9,0.3,0.1,0.0
Howard Bison,HOW,18,16,1502.9,100.0,18.9,6.1,1.4,0.3,0.1,0.0
