RK,TEAM,W,L,T,SOS,PR
1,HOUSTON,28,3,0,79.19,95.51
2,CONNECTICUT,28,3,0,77.50,93.63
3,PURDUE,28,3,0,79.82,92.32
4,ARIZONA,24,7,0,78.57,92.26
5,AUBURN,24,7,0,77.69,91.82
6,TENNESSEE,24,7,0,79.75,90.76
7,NORTH CAROLINA,25,6,0,79.48,90.67
8,BYU,22,9,0,78.92,90.02
9,IOWA ST.,24,7,0,78.94,89.68
10,KENTUCKY,23,8,0,78.88,89.01
11,DUKE,24,7,0,77.13,88.96
12,GONZAGA,25,6,0,72.80,88.85
13,ILLINOIS,23,8,0,77.90,88.65
14,CREIGHTON,23,8,0,78.19,88.58
15,ALABAMA,21,10,0,80.15,88.44
16,MARQUETTE,23,8,0,79.22,87.96
17,BAYLOR,22,9,0,80.30,87.86
18,TEXAS TECH,22,9,0,79.41,87.80
19,TEXAS,20,11,0,79.34,86.78
20,KANSAS,22,9,0,80.35,86.75
21,ST. MARY'S CA.,25,7,0,72.44,86.62
22,CINCINNATI,18,13,0,79.34,86.42
23,TCU,20,11,0,77.70,85.40
24,MICHIGAN ST.,18,13,0,78.96,85.10
25,OKLAHOMA,20,11,0,79.45,85.03
26,COLORADO,22,9,0,76.32,84.82
27,ST. JOHN'S,19,12,0,78.52,84.71
28,CLEMSON,21,10,0,78.62,84.69
29,WAKE FOREST,19,12,0,76.92,84.54
30,PITTSBURGH,21,10,0,76.62,84.36
31,CENTRAL FLORIDA,16,14,0,79.78,83.99
32,VILLANOVA,17,14,0,78.65,83.86
33,INDIANA ST.,28,6,0,72.45,83.80
34,NEBRASKA,22,9,0,76.36,83.80
35,WISCONSIN,19,12,0,79.45,83.68
36,OHIO ST.,19,12,0,77.40,83.42
37,FLORIDA ATLANTIC,24,7,0,74.12,83.41
38,NORTHWESTERN,21,10,0,77.77,83.36
39,FLORIDA,21,10,0,77.29,83.09
40,TEXAS A&M,18,13,0,78.38,82.99
41,MISSISSIPPI ST.,19,12,0,77.78,82.79
42,SOUTH CAROLINA,25,6,0,76.73,82.69
43,WASHINGTON ST.,23,8,0,76.27,82.59
44,DRAKE,28,6,0,72.85,82.41
45,NEW MEXICO,22,9,0,72.73,82.27
46,KANSAS ST.,18,13,0,80.46,82.25
47,WASHINGTON,17,14,0,78.17,82.22
48,UTAH,18,13,0,77.83,82.12
49,SETON HALL,20,11,0,78.42,81.97
50,IOWA,18,13,0,78.26,81.96
51,BOISE ST.,22,9,0,73.35,81.71
52,NEVADA,26,6,0,72.10,81.68
53,UTAH ST.,26,5,0,71.89,81.52
54,XAVIER,15,16,0,79.42,81.33
55,JAMES MADISON,31,3,0,66.48,81.26
56,PROVIDENCE,19,12,0,77.78,81.11
57,VIRGINIA TECH,18,13,0,76.68,80.70
58,OREGON,20,11,0,77.31,80.66
59,BUTLER,18,13,0,76.46,80.60
60,SAN DIEGO ST.,22,9,0,72.92,80.51
61,VIRGINIA,22,9,0,76.23,80.51
62,COLORADO ST.,22,9,0,72.31,80.09
63,SAN FRANCISCO,23,10,0,69.98,79.81
64,DAYTON,24,6,0,74.35,79.78
65,MARYLAND,15,16,0,77.11,79.72
66,BRADLEY,22,11,0,72.46,79.44
67,MINNESOTA,18,13,0,76.63,79.42
68,MEMPHIS,22,9,0,74.57,79.35
69,PENN ST.,15,16,0,77.04,79.34
70,NORTH CAROLINA ST.,17,14,0,77.18,79.31
71,GRAND CANYON,27,4,0,67.00,79.24
72,INDIANA,18,13,0,79.57,79.17
73,SOUTHERN CAL,14,17,0,77.89,79.16
74,FLORIDA ST.,16,15,0,77.91,78.87
75,CALIFORNIA IRVINE,24,8,0,69.05,78.53
76,SMU,20,11,0,70.90,78.52
77,LSU,17,14,0,76.68,78.39
78,RICHMOND,23,8,0,72.69,78.23
79,SYRACUSE,20,11,0,77.42,77.93
80,ST. JOSEPH'S PA.,19,12,0,72.06,77.91
81,MASSACHUSETTS,20,10,0,71.28,77.89
82,McNEESE ST.,28,3,0,60.88,77.78
83,GEORGIA,16,15,0,77.76,77.76
84,BOSTON COLLEGE,17,14,0,76.08,77.70
85,MIAMI FLORIDA,15,16,0,76.22,77.68
86,OKLAHOMA ST.,12,19,0,79.05,77.50
87,ARKANSAS,15,16,0,78.45,77.42
88,STANFORD,13,17,0,77.14,77.30
89,APPALACHIAN ST.,27,6,0,66.97,77.25
90,MISSISSIPPI,20,11,0,76.99,77.25
91,UCLA,15,16,0,76.03,77.13
92,VCU,19,12,0,73.26,77.06
93,ST. BONAVENTURE,18,12,0,72.69,76.96
94,LOYOLA ILLINOIS,23,8,0,70.46,76.93
95,PRINCETON,24,3,0,65.42,76.87
96,COLLEGE OF CHARLESTON,26,7,0,68.60,76.73
97,SOUTH FLORIDA,23,6,0,70.48,76.70
98,NEVADA LAS VEGAS,19,11,0,71.75,76.67
99,NORTH TEXAS,17,13,0,69.88,76.45
100,GEORGE MASON,20,11,0,70.17,76.27
101,RUTGERS,15,16,0,77.85,76.11
102,VERMONT,26,6,0,67.66,76.08
103,DUQUESNE,20,11,0,71.82,75.98
104,SAMFORD,29,5,0,64.45,75.91
105,NORTHERN IOWA,19,14,0,74.48,75.81
106,YALE,20,9,0,67.82,75.64
107,BELMONT,20,13,0,73.11,75.47
108,CORNELL,22,6,0,65.85,75.03
109,SANTA CLARA,20,13,0,70.53,74.93
110,LOUISIANA TECH,22,9,0,65.24,74.90
111,HIGH POINT,25,8,0,66.17,74.90
112,SOUTHERN ILLINOIS,19,13,0,71.28,74.73
113,NOTRE DAME,12,19,0,77.59,74.67
114,HOFSTRA,20,13,0,69.45,74.62
115,GEORGIA TECH,14,17,0,78.47,74.33
116,ARIZONA ST.,14,17,0,78.58,74.29
117,NORTH CAROLINA CHARLOTTE,19,11,0,70.60,74.24
118,CALIFORNIA,13,18,0,77.78,74.18
119,TOLEDO,20,11,0,68.92,73.84
120,ALABAMA BIRMINGHAM,20,11,0,70.90,73.75
121,MICHIGAN,8,23,0,79.81,73.52
122,MISSOURI,8,23,0,77.43,73.50
123,WEST VIRGINIA,9,22,0,81.06,73.50
124,MISSOURI ST.,17,16,0,73.63,73.34
125,TEXAS ARLINGTON,18,13,0,69.22,73.27
126,MOREHEAD ST.,26,8,0,60.60,73.23
127,TULANE,14,16,0,70.54,73.19
128,PURDUE FT. WAYNE,21,12,0,65.04,73.13
129,OHIO UNIVERSITY,19,12,0,65.93,73.10
130,AKRON,21,10,0,66.26,73.07
131,DREXEL,20,12,0,67.10,73.05
132,NORTH CAROLINA WILMINGTON,21,10,0,66.18,72.90
133,WICHITA ST.,13,18,0,73.40,72.90
134,WYOMING,15,16,0,73.12,72.69
135,COLGATE,24,9,0,65.52,72.59
136,OREGON ST.,13,18,0,75.86,72.57
137,OAKLAND MI,22,11,0,69.48,72.53
138,LONGWOOD,21,13,0,64.35,72.39
139,NORTH CAROLINA ASHEVILLE,22,12,0,67.38,72.35
140,SEATTLE,18,13,0,67.07,72.20
141,TROY ST.,20,12,0,64.95,72.18
142,MASS-LOWELL,21,9,0,63.15,72.17
143,VANDERBILT,9,22,0,78.48,72.02
144,DAVIDSON,15,16,0,70.75,72.02
145,LIBERTY,18,13,0,64.15,72.00
146,BRYANT,20,12,0,67.59,71.94
147,STONY BROOK,20,14,0,69.27,71.69
148,CALIFORNIA SAN DIEGO,21,11,0,65.55,71.68
149,YOUNGSTOWN ST.,22,10,0,63.16,71.67
150,TOWSON ST.,20,14,0,68.20,71.51
151,MURRAY ST.,12,20,0,72.74,71.31
152,QUINNIPIAC,23,8,0,64.41,71.15
153,HAWAII,19,13,0,66.64,71.02
154,WESTERN CAROLINA,22,10,0,63.29,70.94
155,S. F. AUSTIN,17,14,0,66.32,70.86
156,LOUISVILLE,8,23,0,77.29,70.84
157,TARLETON STATE,23,8,0,65.56,70.74
158,WEBER ST.,20,12,0,64.35,70.66
159,ARKANSAS ST.,18,16,0,69.68,70.65
160,EASTERN WASHINGTON,21,11,0,66.38,70.56
161,GEORGETOWN,9,22,0,76.21,70.46
162,LOUISIANA-LAFAYETTE,19,14,0,67.18,70.45
163,MONTANA,22,10,0,64.67,70.44
164,FORDHAM,12,19,0,73.28,70.40
165,DELAWARE,19,14,0,68.04,70.38
166,NEW HAMPSHIRE,16,14,0,69.35,70.35
167,FAIRFIELD,20,11,0,65.85,70.32
168,TENNESSEE CHATTANOOGA,21,12,0,64.72,70.23
169,NORTH CAROLINA GREENSBORO,21,11,0,65.81,70.21
170,EVANSVILLE,16,17,0,72.92,70.13
171,UTAH VALLEY ST.,16,15,0,69.22,70.11
172,WRIGHT ST.,18,14,0,65.38,70.10
173,LOYOLA MARYMOUNT,12,19,0,70.20,70.10
174,EAST CAROLINA,14,17,0,71.16,70.08
175,ILLINOIS ST.,15,17,0,71.74,70.03
176,TULSA,16,14,0,67.69,70.02
177,SOUTH DAKOTA ST.,21,12,0,64.38,69.97
